LAMMPS data file via write_data, version 23 Jun 2022, timestep = 0

192 atoms
3 atom types

0 14.32 xlo xhi
0 14.32 ylo yhi
0 14.32 zlo zhi

Masses

1 1.00784
2 15.9991
3 28.0855

Atoms # charge

1 3 -0.4709468072230971 0 0 0 0 0 0
3 3 -0.4709468072230223 3.58 3.58 0 0 0 0
6 3 -0.4709468072229017 1.79 1.79 1.79 0 0 0
9 2 0.2354734036114622 0.895 0.895 0.895 0 0 0
18 2 0.2354734036115141 2.685 0.895 2.685 0 0 0
19 2 0.2354734036115045 2.685 2.685 0.895 0 0 0
23 2 0.2354734036115919 0.895 2.685 2.685 0 0 0
24 2 0.2354734036115687 4.475 4.475 0.895 0 0 0
2 3 -0.4709468072228774 0 3.58 3.58 0 0 0
4 3 -0.4709468072229541 3.58 0 3.58 0 0 0
11 2 0.2354734036116259 2.685 4.475 6.265 0 0 0
15 2 0.235473403611635 4.475 2.685 6.265 0 0 0
16 2 0.2354734036116529 0.895 4.475 4.475 0 0 0
21 2 0.2354734036116117 4.475 0.895 4.475 0 0 0
14 2 0.2354734036117042 6.265 4.475 2.685 0 0 0
25 3 -0.4709468072231759 7.16 0 0 0 0 0
30 3 -0.4709468072228429 8.95 1.79 1.79 0 0 0
33 2 0.2354734036114665 8.055 0.895 0.895 0 0 0
47 2 0.2354734036116844 8.055 2.685 2.685 0 0 0
5 3 -0.4709468072227379 5.37 1.79 5.37 0 0 0
10 2 0.2354734036117269 6.265 2.685 4.475 0 0 0
20 2 0.235473403611552 6.265 0.895 6.265 0 0 0
26 3 -0.470946807222702 7.16 3.58 3.58 0 0 0
40 2 0.2354734036118313 8.055 4.475 4.475 0 0 0
27 3 -0.4709468072230775 10.74 3.58 0 0 0 0
38 2 0.2354734036115196 13.425 4.475 2.685 0 0 0
42 2 0.2354734036115628 9.845 0.895 2.685 0 0 0
43 2 0.2354734036115449 9.845 2.685 0.895 0 0 0
48 2 0.2354734036114401 11.635 4.475 0.895 0 0 0
28 3 -0.4709468072228943 10.74 0 3.58 0 0 0
29 3 -0.4709468072228913 12.530000000000001 1.79 5.37 0 0 0
34 2 0.2354734036115405 13.425 2.685 4.475 0 0 0
35 2 0.2354734036116742 9.845 4.475 6.265 0 0 0
39 2 0.2354734036115774 11.635 2.685 6.265 0 0 0
44 2 0.2354734036114598 13.425 0.895 6.265 0 0 0
45 2 0.2354734036115994 11.635 0.895 4.475 0 0 0
12 2 0.2354734036117208 4.475 6.265 2.685 0 0 0
49 3 -0.4709468072231279 0 7.16 0 0 0 0
54 3 -0.4709468072228567 1.79 8.95 1.79 0 0 0
57 2 0.235473403611484 0.895 8.055 0.895 0 0 0
66 2 0.2354734036116802 2.685 8.055 2.685 0 0 0
7 3 -0.4709468072227335 1.79 5.37 5.37 0 0 0
13 2 0.2354734036117374 2.685 6.265 4.475 0 0 0
22 2 0.2354734036115801 0.895 6.265 6.265 0 0 0
52 3 -0.4709468072226696 3.58 7.16 3.58 0 0 0
69 2 0.2354734036118372 4.475 8.055 4.475 0 0 0
8 3 -0.4709468072227214 5.37 5.37 1.79 0 0 0
17 2 0.2354734036116161 6.265 6.265 0.895 0 0 0
73 3 -0.4709468072229679 7.16 7.16 0 0 0 0
78 3 -0.4709468072227546 8.95 8.95 1.79 0 0 0
81 2 0.2354734036116506 8.055 8.055 0.895 0 0 0
53 3 -0.4709468072226052 5.37 8.95 5.37 0 0 0
68 2 0.2354734036117491 6.265 8.055 6.265 0 0 0
31 3 -0.4709468072225895 8.95 5.37 5.37 0 0 0
46 2 0.2354734036117643 8.055 6.265 6.265 0 0 0
32 3 -0.4709468072229752 12.530000000000001 5.37 1.79 0 0 0
36 2 0.2354734036116041 11.635 6.265 2.685 0 0 0
41 2 0.2354734036113925 13.425 6.265 0.895 0 0 0
90 2 0.2354734036117143 9.845 8.055 2.685 0 0 0
37 2 0.2354734036118256 9.845 6.265 4.475 0 0 0
76 3 -0.4709468072227345 10.74 7.16 3.58 0 0 0
77 3 -0.4709468072227823 12.530000000000001 8.95 5.37 0 0 0
92 2 0.2354734036116017 13.425 8.055 6.265 0 0 0
93 2 0.2354734036116997 11.635 8.055 4.475 0 0 0
51 3 -0.4709468072231082 3.58 10.74 0 0 0 0
60 2 0.2354734036114365 4.475 13.425 2.685 0 0 0
67 2 0.2354734036115212 2.685 9.845 0.895 0 0 0
71 2 0.235473403611546 0.895 9.845 2.685 0 0 0
72 2 0.2354734036113499 4.475 11.635 0.895 0 0 0
50 3 -0.4709468072229447 0 10.74 3.58 0 0 0
55 3 -0.4709468072229637 1.79 12.530000000000001 5.37 0 0 0
59 2 0.2354734036115299 2.685 11.635 6.265 0 0 0
61 2 0.235473403611478 2.685 13.425 4.475 0 0 0
63 2 0.2354734036117165 4.475 9.845 6.265 0 0 0
64 2 0.2354734036115076 0.895 11.635 4.475 0 0 0
70 2 0.2354734036114109 0.895 13.425 6.265 0 0 0
56 3 -0.470946807223086 5.37 12.530000000000001 1.79 0 0 0
62 2 0.2354734036114611 6.265 11.635 2.685 0 0 0
65 2 0.2354734036112643 6.265 13.425 0.895 0 0 0
95 2 0.2354734036116705 8.055 9.845 2.685 0 0 0
58 2 0.235473403611729 6.265 9.845 4.475 0 0 0
74 3 -0.4709468072228585 7.16 10.74 3.58 0 0 0
79 3 -0.4709468072228055 8.95 12.530000000000001 5.37 0 0 0
88 2 0.235473403611648 8.055 11.635 4.475 0 0 0
94 2 0.2354734036115968 8.055 13.425 6.265 0 0 0
75 3 -0.4709468072230916 10.74 10.74 0 0 0 0
